mean_fit_time	mean_score_time	mean_test_score	param_estimator__fit_intercept	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.014660040537516275	0.0011895497639973958	0.0210613764637199	True	1	{'estimator__fit_intercept': True, 'preprocessing_1__k': 1}	9	0.022823734399530338	0.019894130791833775	0.02046626419979558	0.0007878097962921012	8.698877195497241e-05	0.0012678757246044855
0.016143242518107098	0.0013298988342285156	0.02867206973913302	True	2	{'estimator__fit_intercept': True, 'preprocessing_1__k': 2}	8	0.030445134011096497	0.027122124759227817	0.02844895044707474	0.0006724754363960177	5.1467865843905234e-05	0.0013657560264965952
0.017168839772542317	0.0014667510986328125	0.03513719731786528	True	3	{'estimator__fit_intercept': True, 'preprocessing_1__k': 3}	7	0.03700778003353222	0.033414669338493685	0.03498914258156993	0.00026678746628752497	2.1116762847480953e-05	0.0014706124054068301
0.01944740613301595	0.0015757083892822266	0.03517106062550294	True	4	{'estimator__fit_intercept': True, 'preprocessing_1__k': 4}	6	0.03694247100562853	0.033470558059749966	0.035100152811130325	0.00015635173799313684	2.0019590369966874e-05	0.0014182890665737874
0.021565357844034832	0.0016317367553710938	0.03628795760565129	True	5	{'estimator__fit_intercept': True, 'preprocessing_1__k': 5}	5	0.03868409299517339	0.03367313732987676	0.03650664249190372	0.00033653592971014676	3.0904419161331865e-05	0.0020515500610511616
0.025252501169840496	0.0016984144846598308	0.037095616625224426	True	6	{'estimator__fit_intercept': True, 'preprocessing_1__k': 6}	4	0.039200690863332666	0.035295826390097984	0.03679033262224263	0.0008939585157455762	4.6736663772982774e-05	0.0016087034904833633
0.029515822728474934	0.0018363793690999348	0.03738783290090479	True	7	{'estimator__fit_intercept': True, 'preprocessing_1__k': 7}	3	0.03968723923606132	0.0352976543314093	0.037178605135243736	0.00043020566820128485	1.4016543348979109e-05	0.0017981372031873916
0.03186639149983724	0.0019196669260660808	0.03836183830822837	True	8	{'estimator__fit_intercept': True, 'preprocessing_1__k': 8}	2	0.04080581323797827	0.036235665389438676	0.03804403629726816	0.00042304640158314017	2.4876655426366864e-05	0.0018792394610596314
0.03410585721333822	0.002094745635986328	0.03839839556163731	True	9	{'estimator__fit_intercept': True, 'preprocessing_1__k': 9}	1	0.04087154580686214	0.036180468988988745	0.03814317188906102	0.00025645693573423344	8.982866233324258e-05	0.001923608548203054
0.006835063298543294	0.0	0.0	True	10	{'estimator__fit_intercept': True, 'preprocessing_1__k': 10}	10	0.0	0.0	0.0	0.0007494856397406522	0.0	0.0
0.013898531595865885	0.0011792182922363281	-4.010268423435658	False	1	{'estimator__fit_intercept': False, 'preprocessing_1__k': 1}	20	-3.9872130236960635	-3.9886103740155576	-4.054981872595354	0.0003121501917673392	6.090214262470818e-05	0.03162232912354137
0.015316247940063477	0.0013165473937988281	-3.257605449835866	False	2	{'estimator__fit_intercept': False, 'preprocessing_1__k': 2}	19	-3.2532069443418985	-3.23449200481583	-3.28511740034987	0.00040140801312188445	1.9824615961062817e-05	0.020900443475037486
0.017024755477905273	0.0014328161875406902	-2.5739398150107515	False	3	{'estimator__fit_intercept': False, 'preprocessing_1__k': 3}	18	-2.565942244954537	-2.57332310038602	-2.582554099691697	0.0003268614087237563	3.8262695049319976e-06	0.0067957674155019404
0.01864926020304362	0.0015788078308105469	-2.4484002354081786	False	4	{'estimator__fit_intercept': False, 'preprocessing_1__k': 4}	17	-2.441641516460871	-2.4492483397598734	-2.45431085000379	0.00024759623719894033	7.621940309117213e-06	0.005206884151387512
0.021479288736979168	0.0015987555185953777	-1.5514830157069028	False	5	{'estimator__fit_intercept': False, 'preprocessing_1__k': 5}	16	-1.7507441178722685	-1.1414500109915617	-1.7622549182568785	0.0006576447184000342	1.1041866577757777e-05	0.2899751981903416
0.024463176727294922	0.001745780309041341	-0.9593856347414105	False	6	{'estimator__fit_intercept': False, 'preprocessing_1__k': 6}	15	-0.9495319707695453	-0.9642947697187056	-0.9643301637359802	0.0008683384237609199	2.007472480462467e-05	0.006967607596917739
0.028990904490152996	0.0018118222554524739	-0.10829437053570076	False	7	{'estimator__fit_intercept': False, 'preprocessing_1__k': 7}	14	-0.10800215424069126	-0.10647249559578076	-0.11040846177063024	0.000372597584244598	3.7376416278103435e-05	0.0016200823445515807
0.031091610590616863	0.0018892288208007812	-0.10710681507125122	False	8	{'estimator__fit_intercept': False, 'preprocessing_1__k': 8}	13	-0.10689761117011054	-0.10525298385808046	-0.10916985018556269	0.00038357671030966097	1.9652788182670254e-05	0.0016058819302863644
0.0333402156829834	0.001996914545694987	-0.10085728070453012	False	9	{'estimator__fit_intercept': False, 'preprocessing_1__k': 9}	12	-0.10064433354048763	-0.09849277760131603	-0.10343473097178668	0.0002265822102156112	1.5883441842847663e-05	0.002023155233784079
0.006857554117838542	0.0	0.0	False	10	{'estimator__fit_intercept': False, 'preprocessing_1__k': 10}	10	0.0	0.0	0.0	0.0008081946349878679	0.0	0.0
