mean_fit_time	mean_score_time	mean_test_score	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__random_state	param_preprocessing_2__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.027398109436035156	0.002033233642578125	-0.3544560597121271	mse		0.0	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	589	-0.3571364506138721	-0.37246654389100886	-0.33375760555637934	0.0006722907066022272	7.904885352833067e-05	0.015915651812710718
0.02164181073506673	0.0011802514394124348	0.3754293257706639	mse		0.0	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	93	0.3855578558367694	0.3772682903911688	0.3634574473863661	8.839132801045133e-05	1.1674127577104068e-05	0.009115421515470958
0.029179175694783527	0.0011738141377766926	0.3647863545839677	mse		0.0	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	103	0.37477214105622336	0.35690576839768695	0.36268038316235685	0.0002581520462673707	1.207150621162893e-05	0.007444760043393274
0.036826133728027344	0.0012154579162597656	0.3644063521386037	mse		0.0	3111696	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	107	0.3486859292492851	0.3686291194342389	0.37590821932774254	0.0004887198611562127	4.8241138707269894e-05	0.011507337577646878
0.051298062006632485	0.0017104148864746094	0.3604834620449091	mse		0.0	3111696	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	119	0.3663589968948152	0.3784623727665348	0.33662027858122645	0.010635948607094063	0.0006733383050709779	0.017579527027550768
0.06816816329956055	0.001542488733927409	0.3597276002383962	mse		0.0	3111696	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	125	0.3607616523372337	0.3589801088221919	0.3594409345884799	0.0176336292256403	7.090092686996502e-05	0.0007550635787363308
0.07556502024332683	0.001802206039428711	0.36139028960656916	mse		0.0	3111696	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 7}	117	0.35938217257476346	0.36905718219979355	0.3557294412335895	0.014380950209667539	0.00036762758477074044	0.005623131527076309
0.07332420349121094	0.0012939771016438801	0.3629467861910706	mse		0.0	3111696	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 8}	111	0.36845473207264123	0.3873188439777512	0.33305583746653067	0.009266181776016588	0.00010620244626870669	0.022491936073014494
0.0027468999226888022	0.0	0.0	mse		0.0	3111696	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 9}	370	0.0	0.0	0.0	4.5802161005079934e-05	0.0	0.0
0.002858241399129232	0.0	0.0	mse		0.0	3111696	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__random_state': 3111696, 'preprocessing_2__k': 10}	370	0.0	0.0	0.0	0.0001628618604087541	0.0	0.0
0.006399393081665039	0.0006341934204101562	0.31222818301148386	mse		0.1	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 1}	185	0.3168134171475353	0.3066840329187037	0.3131874502194788	0.00011846516741776776	6.072267371779462e-06	0.004190793872825029
0.008493582407633463	0.0006568431854248047	0.49326790086131145	mse		0.1	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 2}	1	0.4965757760012145	0.48085479912832085	0.5023764627022351	2.771153776079199e-05	1.5378768418619717e-05	0.009091991365151144
0.011072079340616861	0.0006957054138183594	0.49326790086131145	mse		0.1	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 3}	1	0.4965757760012145	0.48085479912832085	0.5023764627022351	0.000423846695071847	3.5068339271304176e-05	0.009091991365151144
0.013467550277709961	0.0007028579711914062	0.49326790086131145	mse		0.1	3111696	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 4}	1	0.4965757760012145	0.48085479912832085	0.5023764627022351	0.00045790202480587165	3.9546352996339926e-05	0.009091991365151144
0.015808264414469402	0.0007396539052327474	0.49326790086131145	mse		0.1	3111696	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 5}	1	0.4965757760012145	0.48085479912832085	0.5023764627022351	0.0005111448324943499	5.8301779537994224e-05	0.009091991365151144
0.01741798718770345	0.0006887118021647135	0.49326790086131145	mse		0.1	3111696	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.1, 'estimator__random_state': 3111696, 'preprocessing_2__k': 6}	1	0.4965757760012145	0.48085479912832085	0.5023764627022351	5.912855534097837e-05	1.5882248869809026e-05	0.009091991365151144
