mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__leaf_size	param_estimator__n_neighbors	param_estimator__weights	param_preprocessing_1__k	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.002144336700439453	0.0002861763143156656	0.0016448020935058594	0.00013164906591441204	10	1	uniform	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 1}	0.7403595285696648	0.42895381699815993	0.6930276223570156	0.5617646974863504	-1.1407883587098255	0.26334983368501036	0.7021448199576202	429
0.0020467281341552735	7.128015375362136e-05	0.0015836715698242187	4.205817266475916e-05	10	1	uniform	2	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 2}	0.8204044583208939	0.6289343892729633	0.7895909165712842	0.43271053430832873	-0.2469347735994638	0.48844290343687913	0.3886472719925095	403
0.001972007751464844	1.176677211151817e-05	0.0016360759735107421	2.761434754400301e-05	10	1	uniform	3	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 3}	0.8455706393856179	0.778173134021979	0.8712880002729143	0.836520251557877	-0.03568611289871537	0.6624978680916984	0.346260842816214	213
0.0012046337127685548	2.960217982195228e-05	0.0009711742401123047	3.608702857196882e-05	10	1	uniform	4	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 4}	0.8456898953641516	0.7844718407952904	0.8594304276021193	0.8397973793185418	-0.029888484384950065	0.6632006361223991	0.3433492500007549	199
0.0012217998504638673	5.5315494485972414e-05	0.0009540557861328125	1.6752260523659593e-05	10	1	uniform	5	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 5}	0.8477746958925381	0.7984375343650799	0.8726464531904913	0.8281663612056723	0.00102932307267245	0.6728098283322412	0.33275992336958216	106
0.0012403964996337891	4.236574042353458e-05	0.0009578704833984375	1.7185068288668407e-05	10	1	uniform	6	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 6}	0.8472941061850252	0.7465776045981394	0.869324264050599	0.8362792506619523	-0.011489755624214615	0.6607984664604176	0.3347516962679712	228
0.0003039836883544922	1.3614515056413974e-05	0.0	0.0	10	1	uniform	7	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 7}								589
0.0003016471862792969	1.7934656289681547e-05	0.0	0.0	10	1	uniform	8	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 8}								588
0.0003034114837646484	1.1238192993613237e-05	0.0	0.0	10	1	uniform	9	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 9}								587
0.0002971649169921875	5.786453788441618e-06	0.0	0.0	10	1	uniform	10	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'uniform', 'preprocessing_1__k': 10}								586
0.0011928558349609375	4.4416658218485606e-05	0.0009860992431640625	1.649401717798994e-05	10	1	distance	1	{'estimator__leaf_size': 10, 'estimator__n_neighbors': 1, 'estimator__weights': 'distance', 'preprocessing_1__k': 1}	0.7403595285696648	0.42895381699815993	0.6930276223570156	0.5617646974863504	-1.1407883587098255	0.26334983368501036	0.7021448199576202	429
