mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__max_features	param_estimator__max_samples	param_estimator__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.006771063804626465	0.012886257433467961	0.0	0.0	0.0	0.0	10	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 10}																																																					100
0.004860754013061523	0.0007158244673148848	0.0	0.0	0.0	0.0	50	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 50}																																																					73
0.004016218185424805	0.0003481238087242706	0.0	0.0	0.0	0.0	100	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 100}																																																					74
0.0038805055618286134	0.0002678349684974478	0.0	0.0	0.0	0.0	200	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 200}																																																					75
0.004137229919433594	0.0005764435021558664	0.0	0.0	0.0	0.1	10	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 10}																																																					76
0.00441129207611084	0.0007031546495327266	0.0	0.0	0.0	0.1	50	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 50}																																																					80
0.004158973693847656	0.000498088524743217	0.0	0.0	0.0	0.1	100	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 100}																																																					72
0.0040330982208251955	0.0003676208626392504	0.0	0.0	0.0	0.1	200	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 200}																																																					79
0.00398409366607666	0.00048515177324479146	0.0	0.0	0.0	0.25	10	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 10}																																																					78
0.004202227592468261	0.00044267911011715955	0.0	0.0	0.0	0.25	50	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 50}																																																					71
0.004129366874694824	0.00034219062655153627	0.0	0.0	0.0	0.25	100	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 100}																																																					70
0.004193258285522461	0.0004759692089064872	0.0	0.0	0.0	0.25	200	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.25, 'estimator__n_estimators': 200}																																																					69
0.0039475011825561524	0.0004072601782405164	0.0	0.0	0.0	0.5	10	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 10}																																																					68
0.003849763870239258	0.0003905841036013442	0.0	0.0	0.0	0.5	50	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 50}																																																					67
0.0037545156478881836	0.00023723356480796317	0.0	0.0	0.0	0.5	100	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 100}																																																					66
0.003953375816345215	0.0008331483939018447	0.0	0.0	0.0	0.5	200	{'estimator__max_features': 0.0, 'estimator__max_samples': 0.5, 'estimator__n_estimators': 200}																																																					83
0.003897552490234375	0.0003208831688245036	0.0	0.0	0.0	1.0	10	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 10}																																																					98
0.0036752510070800783	0.0002363454312568875	0.0	0.0	0.0	1.0	50	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 50}																																																					97
0.003497796058654785	0.0001717149378743477	0.0	0.0	0.0	1.0	100	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 100}																																																					96
0.0035257482528686522	0.0001693277378237718	0.0	0.0	0.0	1.0	200	{'estimator__max_features': 0.0, 'estimator__max_samples': 1.0, 'estimator__n_estimators': 200}																																																					95
0.0036266469955444336	0.0002074052857435252	0.0	0.0	0.1	0.0	10	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 10}																																																					82
0.0035807085037231445	0.00019580404522042904	0.0	0.0	0.1	0.0	50	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 50}																																																					94
0.00361872673034668	0.0002680789485408147	0.0	0.0	0.1	0.0	100	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 100}																																																					93
0.003908085823059082	0.0007859986997058617	0.0	0.0	0.1	0.0	200	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.0, 'estimator__n_estimators': 200}																																																					92
0.015196275711059571	0.0027232956010782893	0.0021516227722167968	0.00030963601846680807	0.1	0.1	10	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 10}	0.09276108192694177	-0.08213620374490582	0.02415944601119746	0.14387038097382898	0.016722497718988927	0.1330954674049748	-0.004500194624125431	-0.0027151429547247474	0.18275937988730406	0.12798539455419633	0.07694052279219177	0.039305841061143876	0.053885162679855325	-0.03245969863274634	0.14873954072254658	0.1369303589707066	0.041334013513307566	0.031740162597181376	-0.09603889250928255	0.09607204203989816	0.10579849568182442	0.09000777982682384	0.02053462817661167	-0.043414478902864984	0.2077497753940547	-0.09974385630237048	0.07210676267648752	0.08656744016313112	0.18996048641959495	0.09404687084056262	-0.016024977320731715	-0.025204751710669937	0.0800269412948067	-0.1587065441152018	-0.05041375680592264	0.07194314763132548	0.05759614536618218	0.14997536524054578	0.0592128727351805	-0.015900277974812305	-0.02173541976759652	-0.001073172566250502	0.07717623591431366	0.14420357146786	0.1486554836364531	0.12860663461606847	-0.002104944328177094	0.034488376070048066	0.12192470338594197	0.03993912940926381	0.05349299653081922	0.08005580839412038	64
0.049768314361572266	0.0030640971644509043	0.0054476261138916016	0.00023563528515930073	0.1	0.1	50	{'estimator__max_features': 0.1, 'estimator__max_samples': 0.1, 'estimator__n_estimators': 50}	0.08695264345530784	0.00306224261715915	0.13978442364206567	0.17216214982044187	0.16487186139260335	0.20515825374884034	0.07103993155687449	0.11088603401220964	0.1787715184652804	0.08006683271476045	0.18300089907932227	0.13362589466623975	0.1202119593163058	0.13747508277953913	0.09841799416477526	0.18576688741294833	0.12757344924810088	0.08877691721893699	0.08439699414767021	0.17026558177512197	0.20308405743260172	0.12689068096388423	0.11436755087287631	0.1346120112075635	0.14093311216095805	0.07881713042791727	0.12542159750176973	0.10347482048790091	0.16649985419782265	0.08770472043049082	0.15660947638691458	-0.001582964204950521	0.16529824155410566	0.07761687437763043	0.09101030408474498	0.08831253093023905	0.15405945480415772	0.16709706811107794	0.08570635767514878	0.1354612957374467	0.08373126861452729	0.09920083929179846	0.15919268119280605	0.11592121252974319	0.15190713992627503	0.16014049524268648	0.1278814400091115	0.22925960792421307	0.09405310135956957	0.13275868606665198	0.12595416397064374	0.04586730234127501	55
