col_1	col_2	target
1.0	4.400000095367432	78.0
1.0	3.9000000953674316	74.0
1.0	4.0	68.0
1.0	4.0	76.0
1.0	3.5	80.0
1.0	4.099999904632568	84.0
1.0	2.299999952316284	50.0
1.0	4.699999809265137	93.0
1.0	1.7000000476837158	55.0
1.0	4.900000095367432	76.0
1.0	1.7000000476837158	58.0
1.0	4.599999904632568	74.0
1.0	3.4000000953674316	75.0
2.0	4.300000190734863	80.0
2.0	1.7000000476837158	56.0
2.0	3.9000000953674316	80.0
2.0	3.700000047683716	69.0
2.0	3.0999999046325684	57.0
2.0	4.0	90.0
2.0	1.7999999523162842	42.0
2.0	4.099999904632568	91.0
2.0	1.7999999523162842	51.0
2.0	3.200000047683716	79.0
2.0	1.899999976158142	53.0
2.0	4.599999904632568	82.0
2.0	2.0	51.0
3.0	4.5	76.0
3.0	3.9000000953674316	82.0
3.0	4.300000190734863	84.0
3.0	2.299999952316284	53.0
3.0	3.799999952316284	86.0
3.0	1.899999976158142	51.0
3.0	4.599999904632568	85.0
3.0	1.7999999523162842	45.0
3.0	4.699999809265137	88.0
3.0	1.7999999523162842	51.0
3.0	4.599999904632568	80.0
3.0	1.899999976158142	49.0
3.0	3.5	82.0
4.0	4.0	75.0
4.0	3.700000047683716	73.0
4.0	3.700000047683716	67.0
4.0	4.300000190734863	68.0
4.0	3.5999999046325684	86.0
4.0	3.799999952316284	72.0
4.0	3.799999952316284	75.0
4.0	3.799999952316284	75.0
4.0	2.5	66.0
4.0	4.5	84.0
4.0	4.099999904632568	70.0
4.0	3.700000047683716	79.0
4.0	3.799999952316284	60.0
4.0	3.4000000953674316	86.0
5.0	4.0	71.0
5.0	2.299999952316284	67.0
5.0	4.400000095367432	81.0
5.0	4.099999904632568	76.0
5.0	4.300000190734863	83.0
5.0	3.299999952316284	76.0
5.0	2.0	55.0
5.0	4.300000190734863	73.0
5.0	2.9000000953674316	56.0
5.0	4.599999904632568	83.0
5.0	1.899999976158142	57.0
5.0	3.5999999046325684	71.0
5.0	3.700000047683716	72.0
5.0	3.700000047683716	77.0
6.0	1.7999999523162842	55.0
6.0	4.599999904632568	75.0
6.0	3.5	73.0
6.0	4.0	70.0
6.0	3.700000047683716	83.0
6.0	1.7000000476837158	50.0
6.0	4.599999904632568	95.0
6.0	1.7000000476837158	51.0
6.0	4.0	82.0
6.0	1.7999999523162842	54.0
6.0	4.400000095367432	83.0
6.0	1.899999976158142	51.0
6.0	4.599999904632568	80.0
6.0	2.9000000953674316	78.0
7.0	3.5	81.0
7.0	2.0	53.0
7.0	4.300000190734863	89.0
7.0	1.7999999523162842	44.0
7.0	4.099999904632568	78.0
7.0	1.7999999523162842	61.0
7.0	4.699999809265137	73.0
7.0	4.199999809265137	75.0
7.0	3.9000000953674316	73.0
7.0	4.300000190734863	76.0
7.0	1.7999999523162842	55.0
7.0	4.5	86.0
7.0	2.0	48.0
8.0	4.199999809265137	77.0
8.0	4.400000095367432	73.0
8.0	4.099999904632568	70.0
8.0	4.099999904632568	88.0
8.0	4.0	75.0
8.0	4.099999904632568	83.0
8.0	2.700000047683716	61.0
8.0	4.599999904632568	78.0
8.0	1.899999976158142	61.0
8.0	4.5	81.0
8.0	2.0	51.0
8.0	4.800000190734863	80.0
8.0	4.099999904632568	79.0
16.0	4.099999904632568	82.0
16.0	4.199999809265137	80.0
16.0	4.5	76.0
16.0	1.899999976158142	56.0
16.0	4.699999809265137	82.0
16.0	2.0	47.0
16.0	4.699999809265137	76.0
16.0	2.5	61.0
16.0	4.300000190734863	75.0
16.0	4.400000095367432	72.0
16.0	4.400000095367432	74.0
16.0	4.300000190734863	69.0
16.0	4.599999904632568	78.0
