mean_fit_time	mean_score_time	mean_test_score	param_estimator__criterion	param_estimator__max_features	param_estimator__min_weight_fraction_leaf	param_estimator__n_estimators	param_estimator__random_state	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.02819673220316569	0.001960198084513346	0.7838046359482701	mse		0.0	10	3111696	1	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	463	0.683872207208494	0.8766622045169267	0.795421879243925	0.005503630674334898	0.00013900455196377308	0.07939641911058544
0.01852265993754069	0.0010968844095865886	0.8721876968107564	mse		0.0	10	3111696	2	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	3	0.6812782036076215	0.9709321105095833	0.9730304805515705	0.005825853434269568	1.6090850101083894e-05	0.1380299542232181
0.014456669489542643	0.0010848840077718098	0.8600015526723688	mse		0.0	10	3111696	3	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	79	0.678707449467558	0.9584840805956868	0.9510537690086255	3.682124336475178e-05	6.132298063869612e-06	0.1311099919708125
0.01482391357421875	0.0011240641276041667	0.86468991170451	mse		0.0	10	3111696	4	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	65	0.6743000138367485	0.9586215073569162	0.969802300186582	0.00024252197565750107	5.026518589835367e-05	0.13772619923672008
0.014543533325195312	0.0010755856831868489	0.8222264267279981	mse		0.0	10	3111696	5	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	376	0.6752157041086724	0.8768653800544168	0.921280501594511	1.7377863407254245e-05	4.3976578179222495e-06	0.10780138303173513
0.01464382807413737	0.0010789235432942708	0.836430097194101	mse		0.0	10	3111696	6	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	247	0.6728303088387261	0.8989936217119452	0.9449027150477851	0.0001136583041689674	1.3391589546070336e-05	0.11973625011136607
0.01464374860127767	0.0010762214660644531	0.8470108632320182	mse		0.0	10	3111696	7	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	153	0.6582911544480388	0.9534332091980977	0.9378863946310084	1.9492409895559317e-05	6.3468918508216245e-06	0.13658946385013607
0.01472632090250651	0.001074075698852539	0.8253841939982548	mse		0.0	10	3111696	8	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	357	0.6493184406000154	0.9328209837510593	0.9020161464345189	3.7584697500106485e-05	2.4853540692507252e-06	0.12790581173927018
0.014798402786254883	0.0010909239451090496	0.7668935318560693	mse		0.0	10	3111696	9	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	475	0.6137301937488664	0.7652783563866681	0.9286340153466374	1.0322909597479196e-05	9.803871957456267e-06	0.1290108307750829
0.0148468017578125	0.0010822614034016926	0.8369185457419018	mse		0.0	10	3111696	10	{'estimator__criterion': 'mse', 'estimator__max_features': None, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__n_estimators': 10, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	243	0.6611436972392345	0.9348733841942536	0.9227283216332477	2.5998195050187255e-05	6.101321448538855e-06	0.12718024791173207
