mean_fit_time	mean_score_time	mean_test_score	param_estimator__loss	param_estimator__max_features	param_estimator__random_state	param_preprocessing_1__k	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.04825297991434733	0.002206007639567057	0.26939791158048	ls		3111696	1	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 1}	37	0.25389439336264474	0.26597017802425205	0.28837572046630855	0.004729468781053743	0.00030849241101449517	0.014287225951143628
0.027134180068969727	0.0011157989501953125	0.3621864788764188	ls		3111696	2	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 2}	1	0.3503502806403267	0.37311785082208826	0.3631268493056885	0.0015786250758606497	2.2450203723630166e-06	0.009320847419111872
0.028493722279866535	0.0011003812154134114	0.3547567641516533	ls		3111696	3	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 3}	17	0.34487053260522094	0.3533379535887703	0.36609149464399104	8.652926717232018e-05	1.711565707376987e-05	0.008723372798533566
0.03095094362894694	0.0011401971181233723	0.3544421298376177	ls		3111696	4	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 4}	19	0.3430178235581163	0.3554642672043752	0.3648786059764263	0.00018163942393929292	1.036930493055985e-05	0.00895601544045941
0.00026265780131022137	0.0	0.0	ls		3111696	5	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 5}	49	0.0	0.0	0.0	1.0227635238643617e-05	0.0	0.0
0.0002532800038655599	0.0	0.0	ls		3111696	6	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 6}	49	0.0	0.0	0.0	4.832838629249183e-06	0.0	0.0
0.0002574920654296875	0.0	0.0	ls		3111696	7	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 7}	49	0.0	0.0	0.0	7.587057104023376e-06	0.0	0.0
0.0002613067626953125	0.0	0.0	ls		3111696	8	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 8}	49	0.0	0.0	0.0	9.785816929320442e-06	0.0	0.0
0.0002826849619547526	0.0	0.0	ls		3111696	9	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 9}	49	0.0	0.0	0.0	2.3749756407600667e-05	0.0	0.0
0.00025343894958496094	0.0	0.0	ls		3111696	10	{'estimator__loss': 'ls', 'estimator__max_features': None, 'estimator__random_state': 3111696, 'preprocessing_1__k': 10}	49	0.0	0.0	0.0	6.328954296768362e-06	0.0	0.0
